,listing_id,name,host_id,host_name,neighbourhood_full,coordinates,room_type,price,number_of_reviews,last_review,reviews_per_month,availability_365,rating,number_of_stays,5_stars,listing_added
0,13740704,"Cozy,budget friendly, cable inc, private entrance!",20583125,Michel,"Brooklyn, Flatlands","(40.63222, -73.93398)",Private room,45$,10,2018-12-12,0.7,85,4.100953568650489,12.0,0.6094315047128488,2018-06-08
1,22005115,Two floor apartment near Central Park,82746113,Cecilia,"Manhattan, Upper West Side","(40.78761, -73.96862)",Entire home/apt,135$,1,2019-06-30,1.0,145,3.36759984148828,1.2,0.7461345904105886,2018-12-25
2,21667615,Beautiful 1BR in Brooklyn Heights,78251,Leslie,"Brooklyn, Brooklyn Heights","(40.7007, -73.99517)",Entire home/apt,150$,0,,,65,,,,2018-08-15
3,6425850,"Spacious, charming studio",32715865,Yelena,"Manhattan, Upper West Side","(40.79169, -73.97498)",Entire home/apt,86$,5,2017-09-23,0.13,0,4.76320299429773,6.0,0.7699470781766179,2017-03-20
4,22986519,Bedroom on the lively Lower East Side,154262349,Brooke,"Manhattan, Lower East Side","(40.71884, -73.98354)",Private room,160$,23,2019-06-12,2.29,102,3.8225906280422346,27.6,0.6493830693571124,2020-10-23
5,271954,Beautiful brownstone apartment,1423798,Aj,"Manhattan, Greenwich Village","(40.73388, -73.99452)",Entire home/apt,150$,203,2019-06-20,2.22,300,4.478396485337809,243.6,0.7434996994088457,2018-12-15
6,33473567,Hamilton Heights Full Floor Garden Apt,33388853,Christine,"Manhattan, Harlem","(40.8309, -73.94308000000002)",Entire home/apt,200$,0,,,219,,,,2018-05-05
7,14218742,Luxury/3bedroom/3bthrm/Privateprkng/beach/rstrnts,78824908,Ilona,"Brooklyn, Sheepshead Bay","(40.58531, -73.93811)",Entire home/apt,224$,2,2018-06-22,0.08,353,4.091228407624987,2.4,0.6903933143043651,2017-12-17
8,15125599,Beautiful One Bedroom Apartment Near Central Park,3191545,Kyle,"Manhattan, Theater District","(40.761, -73.98522)",Entire home/apt,169$,5,2017-06-25,0.15,365,3.5629466794544493,6.0,0.7045379867783288,2016-12-20
9,24553891,Enjoy all of Manhattan. Big Apple! A Mini-MOMA!,68557372,Shannon,"Manhattan, Harlem","(40.80667, -73.95182)",Entire home/apt,75$,8,2019-04-24,0.66,9,4.695768785868397,9.6,0.7500734156026541,2018-10-19
10,26386759,Cozy and extremely well located Bushwick room,86892036,Michael,"Brooklyn, Bushwick","(40.70103, -73.91901)",Private room,50$,5,2018-07-29,0.41,0,3.260108207082263,6.0,0.6951741847337894,2018-01-23
11,34446664,Home away from home,260038086,Kimberly,"Queens, Laurelton","(40.6688, -73.74384)",Entire home/apt,254$,2,2019-06-03,1.46,24,3.750804246731366,2.4,0.7732288615453616,2018-11-28
12,18048473,#3 Private  Quadruple  Room  20mnts from Manhattan,42093468,Tsotne (Tut),"Bronx, Mott Haven","(40.81217, -73.91776999999998)",Private room,41$,21,2019-06-20,0.78,334,4.315454829613187,25.2,0.6373132777240915,2018-12-15
13,6336480,Available in August only. One room with twin bed.,12459436,Zena,"Queens, Flushing","(40.73627000000001, -73.81305)",Private room,49$,0,,,27,,,,2018-06-01
